prt1,prt2,momid,partner,samples,inf,lact_residence,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,score_lac,male_dob,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
ph,fd,fd,ph,28,gj,PHG,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,0.114259562,9/6/2007,0.226751692,fd_ph,1,28,16,6
pz,fd,fd,pz,28,gj,PHG,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,0.862168205,5/4/2000,9.344864632,fd_pz,1,29,17,6
sn,fd,fd,sn,28,gj,PHG,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,0.723836131,NA,0,fd_sn,1,30,23,6
xc,fd,fd,xc,28,gj,PHG,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,0.002596941,7/1/2008,0.095593541,fd_xc,1,32,37,6
bt,fd,fd,bt,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.833063216,NA,0,fd_bt,1,25,2,6
jy,fd,fd,jy,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.88982788,5/4/2006,0.285161581,fd_jy,1,26,10,6
oz,fd,fd,oz,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,1,0,0.783808825,9/18/2006,0.578579187,fd_oz,1,27,15,6
ph,fd,fd,ph,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.670759839,9/6/2007,0.214940736,fd_ph,1,28,16,6
pz,fd,fd,pz,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.782895825,5/4/2000,0.542954789,fd_pz,1,29,17,6
um,fd,fd,um,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.030963733,5/19/2010,0,fd_um,1,31,31,6
xh,fd,fd,xh,47,gx,PHG,NA,7/21/2015,1/15/2016,7/19/2016,0,0,0.057478576,6/11/2010,0.06149142,fd_xh,1,33,38,6
fx,bt,fx,bt,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,1,0.805575843,NA,1.680260248,fx_bt,1,34,8,2
jy,fx,fx,jy,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,1,0,0.882144379,5/4/2006,7.547005552,fx_jy,1,37,10,8
oz,fx,fx,oz,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,0.921296647,9/18/2006,0.04994879,fx_oz,1,39,15,8
ph,fx,fx,ph,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,0.182282195,9/6/2007,1.079326481,fx_ph,1,40,16,8
pz,fx,fx,pz,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,0.851890589,5/4/2000,0.215895025,fx_pz,1,41,17,8
sn,fx,fx,sn,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,0.724002447,NA,0.310566701,fx_sn,1,42,23,8
xc,fx,fx,xc,60,gn,PHG,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,0,7/1/2008,0.186008654,fx_xc,1,45,37,8
bt,fx,fx,bt,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,1,0,0.769621439,NA,0.557179496,fx_bt,1,34,2,8
ez,fx,fx,ez,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.057349408,8/14/2007,0.119010894,fx_ez,1,35,5,8
fh,fx,fx,fh,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.357989491,4/26/2007,0.426249601,fx_fh,1,36,7,8
jy,fx,fx,jy,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,1,0.472254143,5/4/2006,0.080085147,fx_jy,1,37,10,8
oe,fx,fx,oe,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.999979573,10/30/2004,0.002593626,fx_oe,1,38,12,8
ph,fx,fx,ph,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.007286729,9/6/2007,0.004871625,fx_ph,1,40,16,8
