prt1,prt2,momid,partner,samples,inf,lact_residence,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,score_lac,male_dob,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
un,ez,un,ez,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0.238331611,8/14/2007,0,un_ez,1,126,32,5
un,jy,un,jy,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0.572472091,5/4/2006,0,un_jy,1,127,32,10
un,oe,un,oe,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,1,0,0.974027046,10/30/2004,7.102687959,un_oe,1,128,32,12
un,oz,un,oz,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,1,0.73143366,9/18/2006,0.059078431,un_oz,1,129,32,15
un,ph,un,ph,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0,9/6/2007,0.113390141,un_ph,1,130,32,16
un,pz,un,pz,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0.781465495,5/4/2000,3.350095116,un_pz,1,131,32,17
un,sn,un,sn,65,cg,PHG,1/5/2015,12/13/2013,6/9/2014,11/26/2014,0,0,0.631692044,NA,0,un_sn,1,132,32,23
un,bt,un,bt,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.715594543,NA,0.250712959,un_bt,1,125,32,2
un,jy,un,jy,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.999577167,5/4/2006,0,un_jy,1,127,32,10
un,oe,un,oe,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.81628924,10/30/2004,1.455894969,un_oe,1,128,32,12
un,oz,un,oz,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,1,0,0.841197313,9/18/2006,0.286163151,un_oz,1,129,32,15
un,ph,un,ph,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.233374445,9/6/2007,0.074350532,un_ph,1,130,32,16
un,pz,un,pz,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.699417369,5/4/2000,3.050764723,un_pz,1,131,32,17
un,sn,un,sn,36,zi,PHG,NA,1/5/2015,7/2/2015,12/1/2015,0,0,0.57455958,NA,0,un_sn,1,132,32,23
bt,ur,ur,bt,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0.793006326,NA,0.101004332,ur_bt,1,133,2,33
ur,jy,ur,jy,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0.922672068,5/4/2006,0.304013158,ur_jy,1,135,33,10
ur,oz,ur,oz,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,1,0,0.943517649,9/18/2006,5.07907637,ur_oz,1,137,33,15
ur,ph,ur,ph,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0.209280633,9/6/2007,0.598734091,ur_ph,1,138,33,16
ur,pz,ur,pz,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0.890345775,5/4/2000,6.019581973,ur_pz,1,139,33,17
ur,sn,ur,sn,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0.745412369,NA,0,ur_sn,1,140,33,23
ur,xc,ur,xc,53,cp,PHG,NA,8/2/2014,1/27/2015,7/31/2015,0,0,0,7/1/2008,0.153452483,ur_xc,1,141,33,37
ur,bt,ur,bt,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.770888702,NA,0,ur_bt,1,133,33,2
ur,fh,ur,fh,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.359764425,4/26/2007,0.195043386,ur_fh,1,134,33,7
ur,jy,ur,jy,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.480775231,5/4/2006,0.202844629,ur_jy,1,135,33,10
ur,oe,ur,oe,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,1,0,1,10/30/2004,2.432135309,ur_oe,1,136,33,12
ur,ph,ur,ph,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.005469182,9/6/2007,1.52058153,ur_ph,1,138,33,16
ur,pz,ur,pz,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.804885358,5/4/2000,1.412748037,ur_pz,1,139,33,17
ur,yn,ur,yn,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.90601786,9/24/2005,0,ur_yn,1,142,33,39
ur,yr,ur,yr,48,cu,PHG,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,0.397446675,5/17/2007,0,ur_yr,1,143,33,41
jj,ut,ut,jj,58,uw,ENK,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,0,0.204353861,11/20/2006,0.142928748,ut_jj,0,144,9,34
ut,s1,ut,s1,58,uw,ENK,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,0,0.066631536,NA,0.783835068,ut_s1,0,145,34,21
ut,tp,ut,tp,58,uw,ENK,2/20/2015,12/22/2013,6/18/2014,11/1/2014,1,0,0.868318673,1/1/2004,0.33975371,ut_tp,0,146,34,24
ut,yr,ut,yr,58,uw,ENK,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,1,0.76902891,5/17/2007,0.041662723,ut_yr,0,148,34,41
ut,jj,ut,jj,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,0,0,0.318329048,11/20/2006,0.190566084,ut_jj,0,144,34,9
ut,s1,ut,s1,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,0,0,0.028917582,NA,3.175246193,ut_s1,0,145,34,21
ut,tp,ut,tp,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,0,0,0.420475025,1/1/2004,1.643520783,ut_tp,0,146,34,24
ut,yn,ut,yn,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,0,0,1,9/24/2005,0.046234016,ut_yn,0,147,34,39
ut,yr,ut,yr,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,1,0,0.617724294,5/17/2007,0.046234016,ut_yr,0,148,34,41
ut,yy,ut,yy,37,uy,ENK,NA,2/20/2015,8/17/2015,12/23/2015,0,0,0.025244834,1/22/2009,0.13489784,ut_yy,0,149,34,42
jj,uv,uv,jj,59,cf,ENK,11/4/2014,9/16/2013,3/13/2014,8/18/2014,0,0,0.045363623,11/20/2006,0.913506251,uv_jj,0,150,9,35
uv,s1,uv,s1,59,cf,ENK,11/4/2014,9/16/2013,3/13/2014,8/18/2014,0,0,0.135151556,NA,1.139811887,uv_s1,0,151,35,21
uv,tp,uv,tp,59,cf,ENK,11/4/2014,9/16/2013,3/13/2014,8/18/2014,1,0,0.6669674,1/1/2004,5.140362569,uv_tp,0,152,35,24
uv,jj,uv,jj,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,0,0,0.61291026,11/20/2006,1.505113733,uv_jj,0,150,35,9
uv,s1,uv,s1,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,0,0,0.262263519,NA,0.089262802,uv_s1,0,151,35,21
uv,tp,uv,tp,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,0,0,0.541764968,1/1/2004,9.021489115,uv_tp,0,152,35,24
uv,yn,uv,yn,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,0,0,1,9/24/2005,0,uv_yn,0,153,35,39
uv,yr,uv,yr,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,1,0,0.684205536,5/17/2007,0.316789058,uv_yr,0,154,35,41
uv,yy,uv,yy,27,cj,ENK,NA,11/4/2014,5/1/2015,8/1/2015,0,0,0,1/22/2009,2.304908269,uv_yy,0,155,35,42
jj,ux,ux,jj,62,yo,ENK,NA,4/3/2015,9/28/2015,6/2/2016,0,0,0.215060124,11/20/2006,0.018454746,ux_jj,0,156,9,36
ux,s1,ux,s1,62,yo,ENK,NA,4/3/2015,9/28/2015,6/2/2016,0,0,0.008749272,NA,0.983508266,ux_s1,0,157,36,21
ux,tp,ux,tp,62,yo,ENK,NA,4/3/2015,9/28/2015,6/2/2016,0,0,0.319954229,1/1/2004,1.092261513,ux_tp,0,158,36,24
ux,yr,ux,yr,62,yo,ENK,NA,4/3/2015,9/28/2015,6/2/2016,0,0,0.595941013,5/17/2007,0.02759124,ux_yr,0,159,36,41
ux,yy,ux,yy,62,yo,ENK,NA,4/3/2015,9/28/2015,6/2/2016,0,0,0.101226594,1/22/2009,0.086437415,ux_yy,0,160,36,42
bt,yp,yp,bt,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.838561085,NA,0.164102577,yp_bt,1,161,2,40
yp,jy,yp,jy,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.847949008,5/4/2006,0.43976781,yp_jy,1,162,40,10
yp,oz,yp,oz,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,1,0,0.817922379,9/18/2006,1.214684806,yp_oz,1,163,40,15
yp,ph,yp,ph,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.827156736,9/6/2007,0,yp_ph,1,164,40,16
yp,pz,yp,pz,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.824580587,5/4/2000,0.115436908,yp_pz,1,165,40,17
yp,ub,yp,ub,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.006499288,7/9/2010,1.713863197,yp_ub,1,166,40,28
yp,um,yp,um,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.06154336,5/19/2010,0.654310521,yp_um,1,167,40,31
yp,xh,yp,xh,55,yq,PHG,NA,8/23/2015,2/17/2016,9/30/2016,0,0,0.072186434,6/11/2010,0.194663345,yp_xh,1,168,40,38
qp,tp,qp,tp,80,qr,ENK,10/4/2014,8/17/2013,2/11/2014,9/8/2014,1,1,0.713846684,1/1/2004,1.194761432,qp_tp,0,86,20,24
ua,yr,ua,yr,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,1,1,0.698860113,5/17/2007,3.302322686,ua_yr,0,110,27,41
