prt1,prt2,momid,partner,infid,sample,dadid,natalto,doc_next_infant,doc_infant,resumecycl,realdad,nextdad,group,dyad,DSI,rDSI,score_cyclf,PHG,dyad_index,prt1_index,prt2_index
jy,fd,fd,jy,gb,19,oe,PHG,5/23/2014,2/1/2013,11/22/2013,0,0,PHG,fdjy,0.516855745,0,0.507887786,1,23,9,6
ph,fd,fd,ph,gb,19,oe,PHG,5/23/2014,2/1/2013,11/22/2013,0,0,PHG,fdph,0.004935561,0.009871121,0,1,26,15,6
ph,fd,fd,ph,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdph,0,0,0.233016466,1,26,15,6
bt,fd,fd,bt,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdbt,0,0,0.72328762,1,21,2,6
oz,fd,fd,oz,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,1,PHG,fdoz,2.607122204,5.214244408,0.960925007,1,25,14,6
xc,fd,fd,xc,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdxc,0,0,0,1,31,34,6
sn,fd,fd,sn,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdsn,0,0,0.745270261,1,28,21,6
jy,fd,fd,jy,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdjy,0,0,0.973323902,1,23,9,6
pz,fd,fd,pz,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,0,0,PHG,fdpz,1.43651207,2.873024139,0.878021205,1,27,16,6
oe,fd,fd,oe,gj,9,oe,PHG,7/21/2015,5/23/2014,4/29/2015,1,0,ENK,fdoe,3.159142495,1.953718275,0.861834717,0,24,11,6
ph,fd,fd,ph,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdph,0,0,1,1,26,15,6
pz,fd,fd,pz,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdpz,0,0,0.812869374,1,27,16,6
xh,fd,fd,xh,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdxh,0,0,0.066365537,1,32,35,6
ub,fd,fd,ub,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdub,0,0,0,1,29,26,6
bt,fd,fd,bt,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdbt,0,0,0.846597579,1,21,2,6
um,fd,fd,um,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdum,0,0,0.076096931,1,30,28,6
jy,fd,fd,jy,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,0,0,PHG,fdjy,0,0,0.763758475,1,23,9,6
oz,fd,fd,oz,gx,4,oz,PHG,12/31/2016,7/21/2015,7/19/2016,1,0,PHG,fdoz,2.332732838,4.665465675,0.781148798,1,25,14,6
bt,fx,fx,bt,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,1,PHG,fxbt,0,0,0.68268618,1,34,2,7
fx,ph,fx,ph,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxph,0,0,0.218182203,1,38,7,15
fx,xc,fx,xc,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxxc,0,0,0.00223975,1,41,7,34
fx,sn,fx,sn,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxsn,0.642648339,1.285296679,0.541329662,1,40,7,21
fx,pz,fx,pz,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxpz,0,0,0.706508599,1,39,7,16
fx,oz,fx,oz,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxoz,0.661784186,1.323568371,0.864269548,1,37,7,14
fx,oe,fx,oe,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,0,0,PHG,fxoe,0.901466996,1.802933992,0.74986134,1,36,7,11
fx,jy,fx,jy,gn,7,jy,PHG,10/24/2015,6/23/2014,8/26/2015,1,0,PHG,fxjy,1.187392733,2.374785466,1,1,35,7,9
jy,oa,oa,jy,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oajy,0.71029506,1.420590119,1,1,43,9,10
oa,sn,oa,sn,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oasn,0,0,0.515900426,1,48,10,21
