prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
fx,ez,fx,ez,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,0.23971104,2.345711387,fx_ez,1,31,8,5
fx,jy,fx,jy,gn,64,0,1,PHG,6/23/2014,12/18/2014,PHG,0.569259186,7.078576084,fx_jy,1,32,8,10
fx,oe,fx,oe,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,0.969587312,1.684958289,fx_oe,1,33,8,13
fx,oz,fx,oz,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,0.739107501,0.183574147,fx_oz,1,34,8,15
fx,ph,fx,ph,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,8.39E-05,0.379006536,fx_ph,1,35,8,16
fx,pz,fx,pz,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,0.78013145,2.03289335,fx_pz,1,36,8,17
fx,sn,fx,sn,gn,64,0,0,PHG,6/23/2014,12/18/2014,PHG,0.631109825,0.249928675,fx_sn,1,37,8,22
fx,bt,fx,bt,gz,48,0,1,PHG,10/24/2015,4/19/2016,PHG,0.789235874,4.845255168,fx_bt,1,30,8,2
fx,jy,fx,jy,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,1,3.375021324,fx_jy,1,32,8,10
fx,oe,fx,oe,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,0.907065808,0.148888379,fx_oe,1,33,8,13
fx,oz,fx,oz,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,0.737189962,0.340040692,fx_oz,1,34,8,15
fx,ph,fx,ph,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,0.35991331,0.148888379,fx_ph,1,35,8,16
fx,pz,fx,pz,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,0.66820332,0.263205429,fx_pz,1,36,8,17
fx,sn,fx,sn,gz,48,0,0,PHG,10/24/2015,4/19/2016,PHG,0.515392509,0.093628843,fx_sn,1,37,8,22
bt,oa,oa,bt,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.882242245,0.059134018,oa_bt,1,38,2,11
oa,jy,oa,jy,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.636920932,0,oa_jy,1,39,11,10
oa,oz,oa,oz,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.838202054,0.866343232,oa_oz,1,40,11,15
oa,ph,oa,ph,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.047234709,0.128935665,oa_ph,1,41,11,16
oa,pz,oa,pz,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.798978358,6.08312174,oa_pz,1,42,11,17
oa,sn,oa,sn,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.674144352,0.059134018,oa_sn,1,43,11,22
oa,xc,oa,xc,kf,38,0,0,PHG,9/17/2014,3/14/2015,PHG,0.016605262,0.352790577,oa_xc,1,44,11,34
bt,ob,ob,bt,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.836091565,0.030366131,ob_bt,1,45,2,12
ob,ez,ob,ez,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.222300498,1.555343562,ob_ez,1,46,12,5
ob,fh,ob,fh,kh,74,0,0,PHG,4/18/2014,10/13/2014,,0.415843801,0,ob_fh,1,47,12,7
ob,jy,ob,jy,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.581293696,0.060732206,ob_jy,1,48,12,10
ob,oe,ob,oe,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.989234411,0,ob_oe,1,49,12,13
ob,oz,ob,oz,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.709458315,0,ob_oz,1,50,12,15
ob,ph,ob,ph,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0,0.257199997,ob_ph,1,51,12,16
ob,pz,ob,pz,kh,74,0,0,PHG,4/18/2014,10/13/2014,PHG,0.794633607,0,ob_pz,1,52,12,17
bt,oy,oy,bt,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.726500525,1.882285218,oy_bt,1,53,2,14
oy,jy,oy,jy,kq,46,0,1,PHG,7/27/2015,1/21/2016,PHG,1,0.151395229,oy_jy,1,54,14,10
oy,oe,oy,oe,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.837577136,0.659489364,oy_oe,1,55,14,13
oy,oz,oy,oz,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.787268492,0.289624346,oy_oz,1,56,14,15
oy,ph,oy,ph,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.252237959,0,oy_ph,1,57,14,16
oy,pz,oy,pz,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.665977284,0.132062963,oy_pz,1,58,14,17
oy,sn,oy,sn,kq,46,0,0,PHG,7/27/2015,1/21/2016,PHG,0.536461129,0.213904882,oy_sn,1,59,14,22
jj,qc,qc,jj,qo,46,0,0,ENK,4/1/2015,9/26/2015,ENK,0.562545656,0.075064352,qc_jj,0,60,9,18
