dadid,natalto,group_next,lact_residence,nextsire,nmales,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,momid,partner,inf,score_lac,male_dob,score_doc,male_dob_est,age_doc,cf_DSI,cf_rDSI,l_DSI,score_doc30,res_status_next,dyad,mom,partner,inf,realdad,score_doc30
jy,PHG,ENK,PHG,yr,10,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,bt,oo,as,0.769487205,NA,0.813488124,6/30/2001,13.21560575,0.035795573,0.071591146,0,0.862901465,1,oo bt,,,,,
jy,PHG,ENK,PHG,yr,10,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,oo,ez,as,0.049996781,8/14/2007,0.210306566,8/14/2007,7.093771389,0.217772735,0.435545469,0.214642145,0.243571851,1,oo ez,,,,,
jy,PHG,ENK,PHG,yr,10,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,oo,oz,as,0.542980692,9/18/2006,0.743203023,9/18/2006,7.997262149,0.056930237,0.113860474,NA,0.735319578,1,oo oz,,,,,
jy,PHG,ENK,PHG,yr,10,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,oo,ph,as,0.006158058,9/6/2007,0,9/6/2007,7.030800821,0.208843155,0.41768631,0.315508676,-1.52E-18,1,oo ph,,,,,
jy,PHG,ENK,PHG,yr,10,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,oo,pz,as,0.808669958,5/4/2000,0.760201978,5/4/2000,14.37097878,0.010418445,0.020836891,0,0.78079134,1,oo pz,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oe,oy,kn,1,10/30/2004,0.809487006,10/30/2004,10.73785079,0.399601734,0.799203469,0.068723299,0.946326884,1,oy oe,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oy,oz,kn,0.654415874,9/18/2006,0.954233349,9/18/2006,8.854209446,0.03158414,0.06316828,0.046486561,0.964989169,1,oy oz,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oy,ph,kn,0,9/6/2007,0.242805218,9/6/2007,7.887748118,0.58928091,1.178561821,0.46532419,0.222643104,1,oy ph,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oy,pz,kn,0.795396408,5/4/2000,0.749769635,5/4/2000,15.22792608,0.213250187,0.426500373,0,0.786359881,1,oy pz,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oy,sn,kn,0.849386845,NA,0.653954574,6/30/2001,14.07255305,0.40262068,0.805241361,NA,0.693225083,1,oy sn,,,,,
bt,PHG,PHG,PHG,jy,8,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,oy,xc,kn,0.125502242,7/1/2008,0,7/1/2008,7.069130732,0.208523188,0.417046376,NA,2.53E-19,1,oy xc,,,,,
tp,ENK,ENK,ENK,yr,6,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,jj,qn,qw,0.400476014,11/20/2006,0.683482236,11/20/2006,8.637919233,2.282383381,4.564766762,1.165926551,0.655560256,1,qn jj,,,,,
tp,ENK,ENK,ENK,yr,6,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,qn,s1,qw,0.319641448,NA,0.218709724,10/1/2001,13.77412731,0,0,0.699704018,0.230594163,1,qn s1,,,,,
tp,ENK,ENK,ENK,yr,6,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,qn,yn,qw,0.999945373,9/24/2005,1,9/24/2005,9.793292266,0,0,NA,1,1,qn yn,,,,,
tp,ENK,ENK,ENK,yr,6,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,qn,yy,qw,0,1/22/2009,0,1/22/2009,6.464065708,0.25171706,0.50343412,NA,0,1,qn yy,,,,,
bt,PHG,PHG,PHG,yn,9,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,jy,tr,rq,0.690794465,5/4/2006,1,5/4/2006,9.557837098,4.567295329,4.513287614,1.020584889,1,1,tr jy,,,,,
bt,PHG,PHG,PHG,yn,9,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,tr,oz,rq,0.852143505,9/18/2006,0.681957947,9/18/2006,9.18275154,0,0,0.058897794,0.692857478,1,tr oz,,,,,
bt,PHG,PHG,PHG,yn,9,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,tr,ph,rq,0.082844893,9/6/2007,0.262338976,9/6/2007,8.216290212,0,0,0.239495385,0.284380476,1,tr ph,,,,,
bt,PHG,PHG,PHG,yn,9,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,tr,pz,rq,0.836614773,5/4/2000,0.632185906,5/4/2000,15.55646817,0.094752822,0.189505644,0.078136497,0.674368698,1,tr pz,,,,,
bt,PHG,PHG,PHG,yn,9,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,tr,sn,rq,0.702813704,NA,0.498114278,6/30/2001,14.40109514,0.308744257,0.617488515,1.54196028,0.536361903,1,tr sn,,,,,
tp,ENK,ENK,ENK,yr,4,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,jj,ua,ah,0,11/20/2006,0.16873946,11/20/2006,7.780971937,1.404052975,2.112881921,0.467883468,0.062490736,1,ua jj,,,,,
tp,ENK,ENK,ENK,yr,4,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,ua,s1,ah,0.498797708,NA,0,10/1/2001,12.91718001,3.875203146,1.961462408,0.009234215,0.027298025,1,ua s1,,,,,
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,bt,ur,cu,0.770888702,NA,0.901655649,6/30/2001,13.08966461,0,0,0,0.850794998,1,ur bt,,,,,
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,ur,jy,cu,0.480775231,5/4/2006,0.621881762,5/4/2006,8.246406571,0,0,0.202844629,0.597022491,1,ur jy,,,,,
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,ur,ph,cu,0.005469182,9/6/2007,0,9/6/2007,6.904859685,0,0,1.52058153,-1.52E-18,1,ur ph,,,,,
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,ur,pz,cu,0.804885358,5/4/2000,0.852392143,5/4/2000,14.24503765,4.626898493,9.253796986,1.412748037,0.817737417,1,ur pz,,,,,
oe,PHG,PHG,PHG,oz,10,8/2/2014,3/18/2013,9/12/2013,4/22/2014,0,0,ur,yr,cu,0.397446675,5/17/2007,0.725154018,5/17/2007,7.211498973,0,0,0,0.493547557,1,ur yr,,,,,
tp,ENK,ENK,ENK,yr,6,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,0,bt,ut,uw,0.845355627,NA,0.907801932,6/30/2001,13.64271047,0,0,NA,0.942070479,1,ut bt,,,,,
tp,ENK,ENK,ENK,yr,6,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,0,ut,s1,uw,0.066631536,NA,0.546406113,10/1/2001,13.38809035,0,0,0.783835068,0.43589787,1,ut s1,,,,,
tp,ENK,ENK,ENK,yr,6,2/20/2015,12/22/2013,6/18/2014,11/1/2014,0,0,ut,yy,uw,0,1/22/2009,0,1/22/2009,6.078028747,1.4323134,0.500863921,NA,0,1,ut yy,,,,,
tp,ENK,ENK,ENK,yr,5,11/4/2014,9/16/2013,3/13/2014,8/18/2014,0,0,jj,uv,cf,0.045363623,11/20/2006,0.514370536,11/20/2006,7.956194387,1.756205781,3.512411562,0.913506251,0.474109034,1,uv jj,,,,,
tp,ENK,ENK,ENK,yr,5,11/4/2014,9/16/2013,3/13/2014,8/18/2014,0,0,uv,s1,cf,0.135151556,NA,0.344474043,10/1/2001,13.09240246,0.561589399,1.123178798,1.139811887,0.21450238,1,uv s1,,,,,
